-123.2076,44.7762,"Bloomington Post Office (historical)"
-122.8262,43.6996,"Bluff Post Office (historical)"
-122.6764,43.6512,"Bonita Post Office (historical)"
-122.7679,45.2998,"Boon Post Office (historical)"
-123.4859,42.4865,"Booth Post Office (historical)"
-123.2995,43.6432,"Boswell Post Office (historical)"
-117.2426,42.5713,"Bowdens Post Office (historical)"
-123.8096,45.0415,"Boyer Post Office (historical)"
-123.1471,46.169,"Bradbury Post Office (historical)"
-118.4047,46.0004,"Braden Post Office (historical)"
-123.2226,45.7926,"Braunsport Post Office (historical)"
-123.3643,44.8393,"Bridgeport Post Office (historical)"
-122.7345,45.3832,"Brockville Post Office (historical)"
-123.3623,44.5054,"Brown Post Office (historical)"
-123.147,43.1123,"Buckfork Post Office (historical)"
-120.368,43.2401,"Buffalo Post Office (historical)"
-120.82,43.1965,"Burleson Post Office (historical)"
-123.2859,45.6748,"Burnt Woods Post Office (historical)"
-123.9318,46.1234,"Camp Clatsop Post Office (historical)"
-122.8137,44.1185,"Camp Creek Post Office (historical)"
-122.4465,45.4979,"Camp Ground Post Office (historical)"
-123.2845,44.5665,"Campus Post Office (historical)"
-123.9512,45.8193,"Cannon Beach Post Office (historical)"
-122.7909,45.4171,"Canterbury Square Post Office (historical)"
-122.9657,45.9326,"Carico Post Office (historical)"
-121.465,43.8348,"Carlisle Post Office (historical)"
-117.1151,43.3179,"Carter Post Office (historical)"
-123.2081,43.7943,"Cartwrights Post Office (historical)"
-123.7804,46.0907,"Casey Post Office (historical)"
-119.8375,45.8387,"Castle Rock Post Office (historical)"
-122.2962,45.2623,"Cazadero Post Office (historical)"
-122.572,44.8943,"Cedar Camp Post Office (historical)"
-120.9648,45.6468,"Celilo Post Office (historical)"
-122.6832,45.6001,"Centennial Post Office (historical)"
-123.6204,43.6026,"Center Bend Post Office (historical)"
-123.1957,45.2248,"Center Post Office (historical)"
-124.2776,43.1996,"Central City Post Office (historical)"
-122.6095,45.5265,"Central Post Office (historical)"
-122.8887,45.3279,"Chehalem Post Office (historical)"
-120.415,44.7565,"Cherry Creek Post Office (historical)"
-122.6957,45.5626,"Chester Post Office (historical)"
-118.1294,44.8596,"Chloride Post Office (historical)"
-122.9012,43.7832,"Christman Post Office (historical)"
-122.4512,45.3832,"Clackemas Post Office (historical)"
-122.8009,45.5809,"Clarion Post Office (historical)"
-123.9138,46.079,"Clatsop Post Office (historical)"
-120.4858,43.3707,"Cliff Post Office (historical)"
-121.2542,44.2735,"Cline Falls Post Office (historical)"
-120.4052,42.4552,"Clover Flat Post Office (historical)"
-118.7258,45.791,"Cold Springs Post Office (historical)"
-120.0633,43.8932,"Coldspring Post Office (historical)"
-119.7311,43.9404,"Colia Post Office (historical)"
-123.1056,44.0237,"College Crest Post Office (historical)"
-124.0804,44.479,"Collins Post Office (historical)"
-122.599,45.5685,"Columbia Post Office (historical)"
-120.8789,43.3082,"Connley Post Office (historical)"
-124.224,43.3626,"Coos Bay Post Office"
-118.1274,43.1221,"Cord Post Office (historical)"
-123.2607,44.5615,"Corvallis Post Office"
-119.4228,44.7257,"Cottonwood Post Office (historical)"
-121.4656,43.8673,"Crater Post Office (historical)"
-122.8178,42.3998,"Creede Post Office (historical)"
-120.1678,44.3332,"Crescent Post Office (historical)"
-122.6184,45.4979,"Creston Post Office"
-120.7067,43.9887,"Crook Post Office (historical)"
-123.1359,44.884,"Croston Post Office (historical)"
-120.4103,45.5887,"Croy Post Office (historical)"
-117.7932,42.7257,"Crutcher Post Office (historical)"
-117.4938,44.6452,"Cullom Post Office (historical)"
-124.0651,42.5554,"Cumtux Post Office (historical)"
-122.4951,45.3843,"Cushing Post Office (historical)"
-124.2001,42.9326,"Custer Post Office (historical)"
-123.242,42.3068,"Davidson Post Office (historical)"
-119.8639,45.234,"Davidson Post Office (historical)"
-120.6834,45.5207,"De Moss Springs Post Office (historical)"
-120.9095,45.6337,"Dechutes Post Office (historical)"
-123.7259,42.0157,"Deering Post Office (historical)"
-118.7033,43.4368,"Del Norte Post Office (historical)"
-119.6552,42.549,"Delaine Post Office (historical)"
-123.5443,44.036,"Delphia Post Office (historical)"
-118.6335,42.0027,"Denio Post Office (historical)"
-123.1407,46.104,"Dent Post Office (historical)"
-120.9095,45.6337,"Deschutes Bridge Post Office (historical)"
-122.6342,42.0651,"Deter Post Office (historical)"
-123.979,45.0015,"Devils Lake Post Office (historical)"
-123.0887,45.2762,"Diamond Post Office (historical)"
-118.4847,44.7138,"Diffin Post Office (historical)"
-117.0371,45.324,"Divide Post Office (historical)"
-123.3996,45.7193,"Douty Post Office (historical)"
-121.3134,44.0598,"Downtown Post Office"
-123.0348,44.9396,"Downtown Post Office (historical)"
-120.3122,43.8668,"Drylake Post Office (historical)"
-119.1441,44.221,"Duncanville Post Office (historical)"
-123.8487,45.8159,"Eden Post Office (historical)"
-118.2316,45.8029,"Edgewood Post Office (historical)"
-119.7636,43.3004,"Egli Post Office (historical)"
-122.6901,43.961,"Egypt Post Office (historical)"
-123.8815,42.5101,"Ekoms Post Office (historical)"
-117.7458,44.4263,"El Dorado Post Office (historical)"
-124.2796,43.3904,"Elkhorn Post Office (historical)"
-124.2109,43.0096,"Elliott Post Office (historical)"
-122.6242,44.1265,"Elliston Post Office (historical)"
-118.3497,44.8596,"Elstow Post Office (historical)"
-122.5887,45.3362,"Ely Post Office (historical)"
-124.0337,43.0368,"Enchanted Prairie Post Office (historical)"
-123.1012,44.6332,"Enterprise Post Office (historical)"
-123.1182,44.9323,"Eola Post Office (historical)"
-120.7787,45.4382,"Erskineville Post Office (historical)"
-123.2179,44.9665,"Etna Post Office (historical)"
-123.0937,44.054,"Eugene Post Office"
-123.622,43.8248,"Eula Post Office (historical)"
-118.2047,44.8185,"Eureka Post Office (historical)"
-119.6566,43.6357,"Evergreen Post Office (historical)"
-122.7118,45.5401,"Exposition Post Office (historical)"
-123.0104,44.9615,"Fair Ground Post Office (historical)"
-123.0151,44.9582,"Fairgrounds Post Office (historical)"
-123.0651,44.0457,"Fairmount Post Office (historical)"
-122.6682,45.6026,"Faloma Post Office (historical)"
-122.8562,45.4804,"Farmington Mall Post Office (historical)"
-122.6782,45.5162,"Federal Post Office (historical)"
-124.2723,42.049,"Fern Post Office (historical)"
-124.2623,42.0673,"Ferry Post Office (historical)"
-119.9844,43.7165,"Fife Post Office (historical)"
-117.0232,45.5265,"Finley Post Office (historical)"
-123.2757,45.6273,"Fir Post Office (historical)"
-123.434,45.0451,"Firholm Post Office (historical)"
-120.8731,43.3568,"Fleetwood Post Office (historical)"
-117.0991,44.6507,"Flickbar Post Office (historical)"
-118.2052,43.049,"Follyfarm Post Office (historical)"
-123.1059,45.5207,"Forest Grove Post Office"
-122.7015,45.5351,"Forest Park Post Office"
-123.3012,44.3165,"Forks of Marys River Post Office (historical)"
-123.1123,42.2373,"Forrest Post Office (historical)"
-123.8771,46.1337,"Fort Clatsop Post Office (historical)"
-124.2721,43.2015,"Freedom Post Office (historical)"
-123.4509,43.2629,"French Settlement Post Office (historical)"
-122.3298,45.519,"Gage Post Office (historical)"
-122.2831,44.4062,"Garrison Post Office (historical)"
-122.5723,44.131,"Gate Creek Post Office (historical)"
-122.5915,44.1457,"Gate Creek Post Office (historical)"
-122.5587,45.5335,"Gateway Post Office (historical)"
-123.2415,42.9507,"Gazley Post Office (historical)"
-123.6554,44.0037,"Glentena Post Office (historical)"
